player_extended_name;overall;position;age;height;weight;intl_rep;pace;dribbling;shooting;passing;defending;physicality;att_workrate;def_workrate
Christopher Schindler;78;CB;28;189;77;1;62.0;55.0;32.0;57.0;79.0;74.0;Med;Med
Felix Uduokhai;76;CB;21;192;78;1;69.0;60.0;39.0;53.0;77.0;72.0;Med;Med
Timo Baumgartl;76;CB;22;190;89;1;58.0;53.0;34.0;56.0;76.0;76.0;Med;Med
Kevin Akpoguma;76;CB;23;192;85;1;75.0;61.0;49.0;55.0;77.0;73.0;Med;Med
Stefan Bell;76;CB;27;192;88;1;60.0;53.0;40.0;55.0;78.0;75.0;Med;Med
Marc-Oliver Kempf;74;CB;23;186;87;1;67.0;60.0;38.0;56.0;73.0;75.0;Med;Med
Manuel Gulde;74;CB;27;184;78;1;66.0;59.0;40.0;53.0;74.0;70.0;Med;Med
Toni Leistner;74;CB;28;190;90;1;66.0;56.0;37.0;53.0;72.0;80.0;Med;Med
Lasse Sobiech;74;CB;27;196;88;1;51.0;43.0;51.0;47.0;75.0;74.0;Med;Med
Alexander Hack;74;CB;25;193;88;1;72.0;60.0;32.0;62.0;73.0;76.0;Med;Med
Gideon Jung;73;CB;24;189;76;1;61.0;62.0;42.0;60.0;74.0;70.0;Med;Med
André Hoffmann;72;CB;25;190;84;1;45.0;56.0;38.0;57.0;72.0;69.0;Med;Med
Florian Hübner;71;CB;27;193;84;1;53.0;45.0;43.0;48.0;71.0;71.0;Med;Med
Tim Knipping;71;CB;25;189;82;1;54.0;51.0;31.0;43.0;71.0;78.0;Med;Med
Tim Hoogland;71;CB;33;183;80;1;51.0;62.0;62.0;60.0;69.0;71.0;Med;Med
Robin Koch;71;CB;22;192;85;1;60.0;59.0;34.0;55.0;71.0;71.0;Med;Med
Uwe Hünemeier;70;CB;32;189;85;1;52.0;56.0;46.0;58.0;70.0;68.0;Med;Med
Jordan Torunarigha;70;CB;21;189;77;1;72.0;51.0;34.0;49.0;71.0;71.0;Med;Med
Patrick Bauer;70;CB;25;192;88;1;32.0;45.0;45.0;52.0;72.0;72.0;Med;Med
Brian Behrendt;70;CB;26;187;85;1;65.0;45.0;53.0;56.0;68.0;75.0;Med;Med
Sebastian Neumann;70;CB;27;188;80;1;52.0;50.0;27.0;45.0;69.0;73.0;Med;Med
Tim Kister;70;CB;31;193;93;1;57.0;41.0;29.0;44.0;69.0;78.0;Med;Med
Hauke Wahl;70;CB;24;189;85;1;59.0;47.0;34.0;35.0;71.0;73.0;Med;Med
Marcel Franke;70;CB;25;193;90;1;50.0;44.0;31.0;41.0;70.0;78.0;Med;Med
Mathias Wittek;70;CB;29;193;88;1;60.0;44.0;43.0;40.0;70.0;77.0;Med;Med
Florian Ballas;70;CB;25;196;96;1;32.0;42.0;32.0;47.0;69.0;72.0;Med;Med
Tobias Schröck;70;CB;25;188;84;1;65.0;64.0;63.0;64.0;69.0;77.0;Med;Med
Christoph Janker;70;CB;33;185;78;1;50.0;50.0;34.0;45.0;71.0;65.0;Med;Med
David Pisot;69;CB;31;186;80;1;70.0;62.0;50.0;56.0;66.0;75.0;Med;Med
Christopher Avevor;69;CB;26;185;88;1;65.0;54.0;39.0;56.0;66.0;75.0;Med;Med
Malcolm Cacutalua;69;CB;23;188;81;1;73.0;48.0;41.0;47.0;70.0;69.0;Med;Med
Steve Breitkreuz;69;CB;26;188;88;1;63.0;54.0;56.0;46.0;68.0;74.0;Med;Med
